Team,Opp.,W/L
Bradley,UC San Diego,L
Rhode Island,Vermont,W
Hampton,Maryland Eastern Sho,W
Michigan St.,East Carolina,W
California,UCLA,W
William & Mary,Abilene Christian,W
Wright St.,Stetson,W
Iowa St.,Creighton,W
Mississippi,Iowa,L
Purdue Fort Wayne,Chicago St.,W
Tulsa,San Jose St.,W
Indiana,Kansas St.,W
UAB,UTEP,W
Notre Dame,Rutgers,W
Northern Iowa,Loyola Chicago,W
Liberty,Towson,L
North Carolina,St. Bonaventure,W
Bellarmine,Houston Christian,W
Kansas,Syracuse,W
Oral Roberts,Kennesaw St.,W
Chicago St.,Purdue Fort Wayne,L
Temple,Princeton,W
Princeton,Temple,L
Nebraska Omaha,James Madison,L
Nebraska,Winthrop,W
UCLA,California,L
East Texas A&M,Army,W
UNLV,Alabama,L
Mississippi Valley S,Texas A&M,L
Vermont,Rhode Island,L
Towson,Liberty,W
Austin Peay,Northern Illinois,W
Florida Atlantic,George Mason,L
St. Bonaventure,North Carolina,L
Maryland,Gonzaga,L
Marist,Lehigh,W
Eastern Washington,North Texas,L
Samford,Georgia St.,W
Syracuse,Kansas,L
Montana,Oakland,L
Pacific,Jacksonville,W
Boise St.,N.C. State,L
Kennesaw St.,Oral Roberts,L
Creighton,Iowa St.,L
USC Upstate,North Carolina Centr,W
Southeast Missouri S,Cal Poly,W
Drexel,Morgan St.,W
Morgan St.,Drexel,L
Maryland Eastern Sho,Hampton,L
North Texas,Eastern Washington,W
Utah Valley,South Dakota St.,W
Grand Canyon,Utah,W
South Carolina St.,Missouri,L
Cal Baptist,San Diego,W
Tennessee St.,UNC Asheville,W
Delaware,UNC Greensboro,W
Rutgers,Notre Dame,L
UTEP,UAB,L
Houston Christian,Bellarmine,L
San Diego,Cal Baptist,L
Mount St. Mary's,Ohio St.,L
Northern Illinois,Austin Peay,L
Kansas St.,Indiana,L
North Carolina Centr,USC Upstate,L
Utah,Grand Canyon,L
UNC Asheville,Tennessee St.,L
Army,East Texas A&M,L
Cal Poly,Southeast Missouri S,L
Florida St.,Cal St. Bakersfield,W
Eastern Illinois,Central Arkansas,L
Utah Tech,Portland St.,L
UNC Greensboro,Delaware,L
UTSA,Georgia Southern,W
Stony Brook,Bethune Cookman,W
Jacksonville,Pacific,L
Portland St.,Utah Tech,W
Stetson,Wright St.,L
Loyola Marymount,Ohio,W
East Carolina,Michigan St.,L
San Jose St.,Tulsa,L
Lehigh,Marist,L
Loyola Chicago,Northern Iowa,L
New Mexico St.,UC Irvine,W
Bethune Cookman,Stony Brook,L
Georgia St.,Samford,L
Florida Gulf Coast,Rice,W
Ohio,Loyola Marymount,L
Georgia Southern,UTSA,L
Coppin St.,Rider,W
Rice,Florida Gulf Coast,L
Rider,Coppin St.,L
Abilene Christian,William & Mary,L
Cal St. Bakersfield,Florida St.,L
South Dakota St.,Utah Valley,L
Campbell,Wake Forest,L
UC Irvine,New Mexico St.,L
Texas,N.C. State,W
UC San Diego,Towson,W
Columbia,Fairfield,W
Baylor,San Diego St.,W
Michigan,Gonzaga,W
Auburn,St. John's,W
Alabama,Maryland,W
Louisville,NJIT,W
USC,Arizona St.,W
Robert Morris,Illinois Chicago,W
N.C. State,Texas,L
Alabama St.,New Mexico,L
Kansas,Tennessee,W
Tennessee,Kansas,L
Iowa St.,Syracuse,W
Arizona St.,USC,L
Rhode Island,Temple,W
Manhattan,Wagner,L
Portland,Long Beach St.,W
Rice,Oral Roberts,W
Utah,Mississippi,W
Vermont,Princeton,W
Kentucky,Tennessee Tech,W
New Mexico,Alabama St.,W
San Diego St.,Baylor,L
St. John's,Auburn,L
Wyoming,Denver,W
Eastern Michigan,Cincinnati,W
Houston,Notre Dame,W
Towson,UC San Diego,L
Wagner,Manhattan,W
Mercer,Appalachian St.,W
Temple,Rhode Island,L
Kennesaw St.,Florida Gulf Coast,W
Indiana St.,Louisiana Tech,L
Buffalo,Bucknell,W
Memphis,Southern Illinois,W
Northern Arizona,Southeast Missouri S,W
Wofford,Northern Kentucky,L
Boston College,Harvard,W
Belmont,Toledo,W
Idaho St.,Sam Houston St.,L
Houston Christian,The Citadel,W
Syracuse,Iowa St.,L
Bradley,Liberty,W
Florida Gulf Coast,Kennesaw St.,L
Seton Hall,Washington St.,W
Northern Kentucky,Wofford,W
Tulsa,Northern Iowa,W
Lipscomb,Marshall,W
Louisiana Tech,Indiana St.,W
VCU,South Florida,W
Mississippi,Utah,L
Army,Fairleigh Dickinson,W
UMass Lowell,Stonehill,W
Utah Valley,Samford,W
Princeton,Vermont,L
Appalachian St.,Mercer,L
Bucknell,Buffalo,L
Navy,Gardner Webb,W
Illinois Chicago,Robert Morris,L
Iowa,Grand Canyon,W
Sam Houston St.,Idaho St.,W
Saint Mary's,Wichita St.,W
Colorado St.,Virginia Tech,L
Northern Colorado,Air Force,W
Virginia Tech,Colorado St.,W
Fairfield,Columbia,L
Vanderbilt,Western Kentucky,W
Notre Dame,Houston,L
Wichita St.,Saint Mary's,L
Texas Tech,New Orleans,W
Long Beach St.,Portland,L
Bowling Green,VMI,W
Toledo,Belmont,L
Western Kentucky,Vanderbilt,L
Idaho,Cal St. Northridge,W
UNC Greensboro,Miami OH,L
UNC Wilmington,Southeastern Louisia,W
The Citadel,Houston Christian,L
Maryland,Alabama,L
Washington St.,Seton Hall,L
Fairleigh Dickinson,Army,L
Southeastern Louisia,UNC Wilmington,L
Harvard,Boston College,L
San Jose St.,Loyola Chicago,W
Miami OH,UNC Greensboro,W
Fresno St.,Pepperdine,W
South Florida,VCU,L
Oral Roberts,Rice,L
Liberty,Bradley,L
FIU,Nebraska Omaha,W
New Mexico St.,Georgia St.,W
Denver,Wyoming,L
Northern Iowa,Tulsa,L
Tennessee Tech,Kentucky,L
Southern Indiana,Valparaiso,W
Gonzaga,Michigan,L
Southeast Missouri S,Northern Arizona,L
Cal St. Northridge,Idaho,L
North Dakota St.,Jacksonville St.,W
Saint Francis,Troy,L
Air Force,Northern Colorado,L
Pepperdine,Fresno St.,L
New Orleans,Texas Tech,L
Stonehill,UMass Lowell,L
Southern Illinois,Memphis,L
Nebraska Omaha,FIU,L
Loyola Chicago,San Jose St.,L
Troy,Saint Francis,W
Grand Canyon,Iowa,L
NJIT,Louisville,L
Brown,New Hampshire,W
Gardner Webb,Navy,L
UC Irvine,South Dakota St.,W
Cincinnati,Eastern Michigan,L
Marshall,Lipscomb,L
Georgia St.,New Mexico St.,L
South Dakota St.,UC Irvine,L
VMI,Bowling Green,L
Valparaiso,Southern Indiana,L
New Hampshire,Brown,L
Samford,Utah Valley,L
Jacksonville St.,North Dakota St.,L
Colorado St.,Wichita St.,W
TCU,Florida,W
Michigan St.,North Carolina,W
Arkansas,Duke,L
Wisconsin,Providence,W
Oklahoma St.,Northwestern,W
Vanderbilt,VCU,W
Saint Mary's,Virginia Tech,W
Washington,Nevada,W
Dayton,Georgetown,W
Duke,Arkansas,W
Stanford,Minnesota,W
Creighton,Oregon,W
Florida,TCU,L
Illinois St.,Charlotte,W
Northwestern,Oklahoma St.,L
North Carolina,Michigan St.,L
Wichita St.,Colorado St.,L
Minnesota,Stanford,L
Colorado,San Francisco,W
Rutgers,UNLV,W
BYU,Miami FL,W
Georgetown,Dayton,L
Western Kentucky,South Florida,L
Charlotte,Illinois St.,L
Providence,Wisconsin,L
VCU,Vanderbilt,L
Furman,Richmond,W
Virginia Tech,Saint Mary's,L
Santa Clara,Saint Louis,L
San Francisco,Colorado,L
South Florida,Western Kentucky,W
Saint Louis,Santa Clara,W
Nevada,Washington,L
Oregon,Creighton,L
Richmond,Furman,L
UNLV,Rutgers,L
Miami FL,BYU,L
St. Bonaventure,East Carolina,W
East Carolina,St. Bonaventure,L
Santa Clara,Minnesota,W
Vanderbilt,Saint Mary's,W
Sam Houston St.,Idaho,W
Purdue,Eastern Illinois,W
UNC Wilmington,Navy,W
Virginia,Queens,W
Miami FL,Georgetown,W
Texas A&M,Florida St.,W
VCU,Virginia Tech,W
Colorado,Washington,W
Colorado St.,South Florida,W
Oklahoma,Marquette,W
Connecticut,Illinois,W
Providence,Florida,L
Davidson,North Carolina A&T,W
Queens,Virginia,L
Western Kentucky,Wichita St.,W
Florida,Providence,W
Marquette,Oklahoma,L
Nevada,San Francisco,W
North Carolina A&T,Davidson,L
Monmouth,Ball St.,W
Clemson,Alabama A&M,W
BYU,Dayton,W
Idaho,Sam Houston St.,L
Xavier,Texas A&M Corpus Chr,W
Butler,Wright St.,W
Youngstown St.,Chicago St.,W
Tulane,Nicholls St.,W
Saint Louis,Stanford,L
Wichita St.,Western Kentucky,L
Stanford,Saint Louis,W
Ball St.,Monmouth,L
Penn,Merrimack,W
Stony Brook,Loyola Marymount,W
Dayton,BYU,L
San Francisco,Nevada,L
SMU,Mississippi St.,W
Minnesota,Santa Clara,L
Pittsburgh,Ohio St.,W
Saint Mary's,Vanderbilt,L
Lehigh,UC Santa Barbara,L
American,Maine,W
DePaul,Georgia Tech,W
TCU,Wisconsin,W
UC Santa Barbara,Lehigh,W
Arkansas St.,North Dakota St.,W
Illinois St.,Furman,W
Richmond,Charlotte,W
Missouri,Cleveland St.,W
Mississippi St.,SMU,L
Idaho St.,Cal St. Northridge,W
Alcorn St.,Indiana St.,W
North Dakota St.,Arkansas St.,L
Wake Forest,Northeastern,W
Georgia Tech,DePaul,L
Northeastern,Wake Forest,L
Seattle,Texas St.,W
Nicholls St.,Tulane,L
Illinois,Connecticut,L
Hawaii,North Dakota,W
Ohio St.,Pittsburgh,L
Wright St.,Butler,L
Furman,Illinois St.,L
Eastern Illinois,Purdue,L
Georgetown,Miami FL,L
LSU,Drake,W
Merrimack,Penn,L
Virginia Tech,VCU,L
Le Moyne,Lafayette,W
South Florida,Colorado St.,L
Albany,Colgate,L
Siena,Longwood,W
Washington,Colorado,L
Eastern Michigan,NJIT,W
Texas St.,Seattle,L
South Carolina,Charleston Southern,W
Colgate,Albany,W
Gardner Webb,Southeastern Louisia,L
Charlotte,Richmond,L
Charleston Southern,South Carolina,L
Loyola Marymount,Stony Brook,L
Hofstra,La Salle,W
Longwood,Siena,L
Texas A&M Corpus Chr,Xavier,L
Robert Morris,Southern Utah,W
Southeastern Louisia,Gardner Webb,W
Lafayette,Le Moyne,L
Wisconsin,TCU,L
NJIT,Eastern Michigan,L
La Salle,Hofstra,L
Navy,UNC Wilmington,L
Drake,LSU,L
Alabama A&M,Clemson,L
Chicago St.,Youngstown St.,L
Cleveland St.,Missouri,L
Maine,American,L
Florida St.,Texas A&M,L
North Dakota,Hawaii,L
Indiana St.,Alcorn St.,L
Jackson St.,Louisiana,W
Southern Utah,Robert Morris,L
Louisiana,Jackson St.,L
Cal St. Northridge,Idaho St.,L
LSU,DePaul,W
Indiana,Bethune Cookman,W
UC Santa Barbara,Seattle,W
Drake,Georgia Tech,W
Dartmouth,Saint Peter's,W
Georgia,Tennessee Tech,W
Akron,Milwaukee,W
Winthrop,South Carolina St.,W
Le Moyne,Monmouth,W
Fordham,Albany,W
Hofstra,Merrimack,W
La Salle,Penn,L
Utah Tech,UC Riverside,W
Louisiana Tech,Alcorn St.,W
Little Rock,Southern Illinois,L
Valparaiso,Western Michigan,W
Mount St. Mary's,Howard,W
High Point,Western Carolina,W
Southeastern Louisia,Navy,W
Seattle,UC Santa Barbara,L
George Mason,James Madison,W
Arizona,Norfolk St.,W
Monmouth,Le Moyne,L
Cal Baptist,Oregon St.,W
South Dakota,Air Force,W
Oregon St.,Cal Baptist,L
Lipscomb,Southeast Missouri S,W
Montana St.,Utah St.,L
Mercer,Elon,W
Southern,Northwestern St.,W
Georgia Tech,Drake,L
Penn,La Salle,W
Milwaukee,Akron,L
Cal St. Fullerton,Pepperdine,W
James Madison,George Mason,L
Georgia Southern,Houston Christian,W
South Carolina St.,Winthrop,L
Boston University,Northern Kentucky,L
Utah St.,Montana St.,W
Stephen F. Austin,UT Arlington,L
UNC Wilmington,Gardner Webb,W
Lehigh,Texas St.,W
UC Riverside,Utah Tech,L
Wofford,Eastern Kentucky,W
USC Upstate,Nebraska,L
UT Arlington,Stephen F. Austin,W
Weber St.,UMKC,W
East Tennessee St.,Central Arkansas,W
Albany,Fordham,L
Howard,Mount St. Mary's,L
Norfolk St.,Arizona,L
Western Carolina,High Point,L
Elon,Mercer,L
Buffalo,Canisius,W
Penn St.,Sacred Heart,W
Southern Illinois,Little Rock,W
Texas St.,Lehigh,L
Northern Kentucky,Boston University,W
Detroit Mercy,Niagara,W
Tennessee Tech,Georgia,L
Alcorn St.,Louisiana Tech,L
UMBC,Delaware St.,W
Pepperdine,Cal St. Fullerton,L
UCF,VMI,W
Longwood,Maine,W
Manhattan,Army,L
Army,Manhattan,W
Gardner Webb,UNC Wilmington,L
Northwestern St.,Southern,L
Navy,Southeastern Louisia,L
Eastern Kentucky,Wofford,L
Niagara,Detroit Mercy,L
Bryant,Harvard,L
Saint Peter's,Dartmouth,L
Nebraska,USC Upstate,W
IU Indy,Morehead St.,W
Stetson,Southern Utah,L
Southeast Missouri S,Lipscomb,L
VMI,UCF,L
DePaul,LSU,L
Maine,Longwood,L
Morehead St.,IU Indy,L
Houston Christian,Georgia Southern,L
Southern Utah,Stetson,W
Western Michigan,Valparaiso,L
Merrimack,Hofstra,L
UMKC,Weber St.,L
Pacific,Sacramento St.,W
Bethune Cookman,Indiana,L
Air Force,South Dakota,L
Delaware St.,UMBC,L
Harvard,Bryant,W
Central Arkansas,East Tennessee St.,L
Lafayette,Ball St.,W
Sacramento St.,Pacific,L
Siena,American,W
American,Siena,L
Canisius,Buffalo,L
Sacred Heart,Penn St.,L
Ball St.,Lafayette,L
Belmont,Charleston,W
Ball St.,Le Moyne,W
Le Moyne,Ball St.,L
Cornell,Bucknell,W
Yale,Vermont,W
Monmouth,Lafayette,W
Loyola MD,Coppin St.,W
Robert Morris,Stetson,W
Colgate,Fordham,W
Wyoming,Texas Tech,L
American,Longwood,W
Vermont,Yale,L
San Diego,Long Beach St.,L
Hofstra,Penn,W
Presbyterian,The Citadel,W
Long Beach St.,San Diego,W
St. Bonaventure,Florida Atlantic,W
Texas Tech,Wyoming,W
Coppin St.,Loyola MD,L
Cal St. Bakersfield,Fresno St.,W
Quinnipiac,Stonehill,W
Prairie View A&M,North Texas,L
Siena,Maine,W
West Virginia,Mercyhurst,W
William & Mary,Old Dominion,W
South Alabama,UTSA,W
San Jose St.,UC Irvine,L
UNC Asheville,Appalachian St.,W
Merrimack,La Salle,W
New Hampshire,Fairfield,L
Lafayette,Monmouth,L
Tennessee St.,Chattanooga,W
Stetson,Robert Morris,L
UC Irvine,San Jose St.,W
Fairfield,New Hampshire,W
Charleston,Belmont,L
Princeton,Saint Joseph's,L
Penn,Hofstra,L
La Salle,Merrimack,L
Longwood,American,L
Old Dominion,William & Mary,L
North Texas,Prairie View A&M,W
Maine,Siena,L
Florida Atlantic,St. Bonaventure,L
Fresno St.,Cal St. Bakersfield,L
Saint Joseph's,Princeton,W
Bucknell,Cornell,L
Stonehill,Quinnipiac,L
Chattanooga,Tennessee St.,L
Coastal Carolina,Alabama A&M,W
Fordham,Colgate,L
Alabama A&M,Coastal Carolina,L
Appalachian St.,UNC Asheville,L
UTSA,South Alabama,L
Mercyhurst,West Virginia,L
The Citadel,Presbyterian,L
Stanford,Portland,W
Bowling Green,Kansas St.,W
Villanova,Temple,W
Colorado,Cal Baptist,W
Iona,Delaware,W
Incarnate Word,McNeese St.,W
Temple,Villanova,L
Middle Tennessee,UAB,W
Cal Baptist,Colorado,L
Portland,Stanford,L
North Alabama,Jacksonville St.,W
West Georgia,Troy,W
Xavier,Saint Francis,W
Kansas St.,Bowling Green,L
Cincinnati,Tarleton St.,W
Troy,West Georgia,L
Tarleton St.,Cincinnati,L
Saint Francis,Xavier,L
UAB,Middle Tennessee,L
Delaware,Iona,L
Jacksonville St.,North Alabama,L
McNeese St.,Incarnate Word,L
Georgia,Florida St.,W
Drake,Western Illinois,W
Creighton,Nicholls St.,W
Providence,Fairleigh Dickinson,W
Baylor,Sacramento St.,W
Houston Christian,North Texas,L
Purdue,Rutgers,W
Texas A&M,Pittsburgh,W
Michigan St.,Iowa,W
Lindenwood,Northern Illinois,W
Sacramento St.,Baylor,L
Winthrop,LIU,W
Butler,Eastern Michigan,W
USC,Oregon,W
Nevada,UC San Diego,W
Duke,Florida,W
Saint Louis,Loyola Marymount,W
Miami FL,Mississippi,W
Oregon,USC,L
Bryant,Stonehill,W
Florida,Duke,L
Cornell,George Mason,L
Pittsburgh,Texas A&M,L
George Mason,Cornell,W
Oklahoma,Wake Forest,W
Virginia Tech,South Carolina,W
UNC Greensboro,UNC Asheville,L
Arkansas St.,UT Arlington,W
North Texas,Houston Christian,W
Dayton,East Tennessee St.,W
Utah,California,L
Nicholls St.,Creighton,L
UC San Diego,Nevada,L
Loyola Chicago,Central Michigan,W
LIU,Winthrop,L
Oklahoma St.,Sam Houston St.,W
William & Mary,Duquesne,W
Abilene Christian,Pepperdine,W
New Mexico St.,South Alabama,L
UNC Asheville,UNC Greensboro,W
George Washington,Army,W
South Alabama,New Mexico St.,W
Penn St.,Campbell,W
Notre Dame,Missouri,W
North Carolina,Kentucky,W
Sam Houston St.,Oklahoma St.,L
Eastern Michigan,Butler,L
California,Utah,W
Jacksonville,Florida A&M,W
Connecticut,Kansas,W
Kentucky,North Carolina,L
Kennesaw St.,Jackson St.,W
South Carolina,Virginia Tech,L
Central Michigan,Loyola Chicago,L
Florida A&M,Jacksonville,L
Missouri,Notre Dame,L
Charlotte,North Carolina A&T,W
Maryland,Wagner,W
Army,George Washington,L
East Tennessee St.,Dayton,L
Rutgers,Purdue,L
Murray St.,Morehead St.,W
Kansas,Connecticut,L
Tulane,Grambling St.,W
East Carolina,Maryland Eastern Sho,W
Iowa,Michigan St.,L
Campbell,Penn St.,L
Mercer,Georgia St.,W
Binghamton,Lehigh,W
Valparaiso,Marquette,L
Grambling St.,Tulane,L
Mississippi,Miami FL,L
Tennessee Martin,Charleston Southern,W
Syracuse,Tennessee,W
North Florida,SIU Edwardsville,L
Jackson St.,Kennesaw St.,L
Pepperdine,Abilene Christian,L
Wake Forest,Oklahoma,L
Stonehill,Bryant,L
Florida St.,Georgia,L
Rhode Island,Brown,W
Duquesne,William & Mary,L
Loyola Marymount,Saint Louis,L
Marquette,Valparaiso,W
Fairleigh Dickinson,Providence,L
Maryland Eastern Sho,East Carolina,L
SIU Edwardsville,North Florida,W
Western Illinois,Drake,L
Wagner,Maryland,L
Charleston Southern,Tennessee Martin,L
Brown,Rhode Island,L
Georgia St.,Mercer,L
Washington St.,Bradley,L
Lehigh,Binghamton,L
Tennessee,Syracuse,L
UT Arlington,Arkansas St.,L
Bradley,Washington St.,W
Northern Illinois,Lindenwood,L
Morehead St.,Murray St.,L
Stetson,Grand Canyon,L
Grand Canyon,Stetson,W
North Carolina A&T,Charlotte,L
Iowa St.,Alcorn St.,W
Alabama,Clemson,W
Virginia,Texas,W
BYU,Cal Baptist,W
UCLA,Washington,W
Georgetown,UMBC,W
Wisconsin,Northwestern,W
Arkansas,Louisville,W
Akron,Bucknell,W
Vanderbilt,SMU,W
Sacred Heart,Mount St. Mary's,W
Washington,UCLA,L
Kent St.,Austin Peay,W
Denver,Eastern Washington,W
Pacific,Air Force,W
Cornell,Towson,L
Oakland,Purdue Fort Wayne,W
High Point,Southern Illinois,L
Elon,Furman,L
Furman,Elon,W
UMBC,Georgetown,L
Oregon St.,Vermont,W
Queens,Gardner Webb,W
Clemson,Alabama,L
Memphis,New Orleans,W
Auburn,N.C. State,W
Towson,Cornell,W
Bucknell,Akron,L
Detroit Mercy,IU Indy,W
Montana St.,St. Thomas,W
Eastern Washington,Denver,L
North Dakota St.,Montana,W
Georgia Southern,Louisiana Tech,W
Mississippi St.,Georgia Tech,W
Southern Illinois,High Point,W
Austin Peay,Kent St.,L
Western Michigan,Southern Indiana,W
Weber St.,Oral Roberts,W
Texas,Virginia,L
SMU,Vanderbilt,L
Santa Clara,Utah Tech,W
Eastern Kentucky,Illinois St.,L
Columbia,Hofstra,W
Idaho,North Dakota,W
Northern Kentucky,Cleveland St.,W
St. Thomas,Montana St.,L
FIU,Florida Gulf Coast,W
Hampton,Loyola MD,W
Ohio,Maine,W
Marshall,UNC Wilmington,L
American,Drexel,W
Purdue Fort Wayne,Oakland,L
San Diego St.,Utah Valley,W
Minnesota,Indiana,W
Cleveland St.,Northern Kentucky,L
Illinois St.,Eastern Kentucky,W
Alabama A&M,Tennessee St.,W
Richmond,Belmont,W
Louisville,Arkansas,L
Massachusetts,Harvard,W
LSU,Boston College,W
Central Connecticut,Seton Hall,L
Rice,Texas St.,W
Seton Hall,Central Connecticut,W
Air Force,Pacific,L
Central Arkansas,Little Rock,W
Florida Gulf Coast,FIU,L
Northern Colorado,Nebraska Omaha,W
IU Indy,Detroit Mercy,L
Mount St. Mary's,Sacred Heart,L
N.C. State,Auburn,L
Drexel,American,L
Indiana,Minnesota,L
Alcorn St.,Iowa St.,L
Utah Tech,Santa Clara,L
Utah Valley,San Diego St.,L
West Virginia,Coppin St.,W
Southern Miss,Radford,W
Northwestern,Wisconsin,L
Tennessee Tech,Lipscomb,L
Stephen F. Austin,UT Rio Grande Valley,W
Montana,North Dakota St.,L
Nebraska Omaha,Northern Colorado,L
UNC Wilmington,Marshall,W
Texas St.,Rice,L
Holy Cross,Northeastern,W
Belmont,Richmond,L
Lipscomb,Tennessee Tech,W
Hofstra,Columbia,L
Coastal Carolina,USC Upstate,L
USC Upstate,Coastal Carolina,W
Idaho St.,UMKC,W
New Orleans,Memphis,L
Wright St.,Youngstown St.,L
Gardner Webb,Queens,L
South Dakota St.,Northern Arizona,W
Georgia Tech,Mississippi St.,L
North Alabama,San Francisco,W
Louisiana Tech,Georgia Southern,L
Youngstown St.,Wright St.,W
Radford,Southern Miss,L
Portland St.,South Dakota,W
Lamar,Louisiana,W
New Hampshire,Dartmouth,L
South Dakota,Portland St.,L
Arkansas Pine Bluff,Illinois Chicago,W
Louisiana,Lamar,L
Wofford,Presbyterian,W
North Carolina Centr,James Madison,L
Loyola MD,Hampton,L
Harvard,Massachusetts,L
Cal Baptist,BYU,L
Southern Indiana,Western Michigan,L
UMKC,Idaho St.,L
UT Rio Grande Valley,Stephen F. Austin,L
Vermont,Oregon St.,L
North Dakota,Idaho,L
James Madison,North Carolina Centr,W
Boston College,LSU,L
Navy,Delaware St.,W
Coppin St.,West Virginia,L
Dartmouth,New Hampshire,W
Evansville,Ball St.,W
San Francisco,North Alabama,L
Monmouth,Princeton,W
Princeton,Monmouth,L
Northern Arizona,South Dakota St.,L
Oral Roberts,Weber St.,L
Louisiana Monroe,Mississippi Valley S,W
Maine,Ohio,L
Presbyterian,Wofford,L
Northeastern,Holy Cross,L
Tennessee St.,Alabama A&M,L
Delaware St.,Navy,L
Ball St.,Evansville,L
Illinois Chicago,Arkansas Pine Bluff,L
Mississippi Valley S,Louisiana Monroe,L
Little Rock,Central Arkansas,L
Green Bay,Robert Morris,L
South Florida,Utah St.,W
Robert Morris,Green Bay,W
Cal Poly,Cal St. Fullerton,W
Davidson,The Citadel,W
Rider,Merrimack,L
UC Santa Barbara,Long Beach St.,W
Long Beach St.,UC Santa Barbara,L
The Citadel,Davidson,L
Hawaii,UC Davis,W
UC Irvine,UC Riverside,W
Cal St. Northridge,Cal St. Bakersfield,W
UC Davis,Hawaii,L
Cal St. Fullerton,Cal Poly,L
Merrimack,Rider,W
UC Riverside,UC Irvine,L
Cal St. Bakersfield,Cal St. Northridge,L
Utah St.,South Florida,L
Gonzaga,Kentucky,W
McNeese St.,Northwestern St.,W
Notre Dame,TCU,W
Xavier,Cincinnati,W
East Tennessee St.,South Alabama,W
Connecticut,East Texas A&M,W
Lafayette,Mercyhurst,W
Quinnipiac,Iona,W
San Jose St.,San Diego,W
Siena,Niagara,W
High Point,NJIT,W
TCU,Notre Dame,L
Bethune Cookman,South Carolina St.,W
Mercyhurst,Lafayette,L
East Texas A&M,Connecticut,L
UAB,Drake,W
VCU,Samford,W
South Alabama,East Tennessee St.,L
Drake,UAB,L
Cincinnati,Xavier,L
Saint Peter's,Canisius,W
Brown,Bryant,W
Kentucky,Gonzaga,L
NJIT,High Point,L
Iona,Quinnipiac,L
Samford,VCU,L
Manhattan,Fairfield,W
South Carolina St.,Bethune Cookman,L
Canisius,Saint Peter's,L
Northwestern St.,McNeese St.,L
Marist,Mount St. Mary's,W
Mount St. Mary's,Marist,L
San Diego,San Jose St.,L
Bryant,Brown,L
Niagara,Siena,L
Fairfield,Manhattan,L
Tulsa,Missouri St.,W
Wake Forest,West Virginia,W
Utah,Cal Baptist,W
Colorado St.,Colorado,W
New Mexico,Santa Clara,W
Villanova,Penn,W
UC Santa Barbara,Cal St. Bakersfield,W
Michigan,Rutgers,W
Illinois,Tennessee,W
Oklahoma St.,Grand Canyon,W
Iowa St.,Purdue,W
Providence,Rhode Island,W
Arizona,Auburn,W
Louisville,Indiana,W
Wisconsin,Marquette,W
Colorado,Colorado St.,L
Illinois St.,Chicago St.,W
Western Michigan,SIU Edwardsville,W
UCLA,Oregon,W
Houston Christian,New Orleans,W
Ohio St.,Northwestern,W
Virginia,Dayton,W
Arizona St.,Oklahoma,W
Liberty,Coppin St.,W
Miami OH,Maine,W
Coastal Carolina,Winthrop,W
Houston,Florida St.,W
Akron,Tulane,W
UC Riverside,Cal Poly,W
Winthrop,Coastal Carolina,L
Northwestern,Ohio St.,L
George Washington,William & Mary,W
Iowa,Maryland,W
Utah Valley,Bowling Green,W
Cal St. Northridge,UC Irvine,L
FIU,Jacksonville,W
Idaho St.,Denver,W
Cal Baptist,Utah,L
South Dakota St.,Idaho,L
Duquesne,Stony Brook,W
Toledo,Oakland,L
Oakland,Toledo,W
Washington,USC,W
Idaho,South Dakota St.,W
Arkansas St.,Little Rock,W
LIU,Lehigh,W
Elon,Wofford,W
Abilene Christian,New Mexico St.,W
Dartmouth,Wyoming,L
Furman,Harvard,W
UC San Diego,Long Beach St.,W
Cal St. Bakersfield,UC Santa Barbara,L
California,Pacific,W
Boise St.,Butler,W
UNC Greensboro,East Carolina,W
Columbia,Albany,W
Virginia Tech,George Mason,W
Temple,Saint Joseph's,L
Wyoming,Dartmouth,W
William & Mary,George Washington,L
Wichita St.,Northern Iowa,W
Duke,Michigan St.,W
UC Irvine,Cal St. Northridge,W
Tennessee,Illinois,L
USC,Washington,L
American,Maryland Eastern Sho,W
Arkansas,Fresno St.,W
Auburn,Arizona,L
Missouri St.,Tulsa,L
Tennessee Tech,West Georgia,W
Michigan St.,Duke,L
Grand Canyon,Oklahoma St.,L
Long Beach St.,UC San Diego,L
Dayton,Virginia,L
South Dakota,Northern Colorado,L
Ohio,Marshall,W
New Haven,Boston College,L
Santa Clara,New Mexico,L
Denver,Idaho St.,L
Florida St.,Houston,L
Indiana,Louisville,L
New Mexico St.,Abilene Christian,L
Holy Cross,Fordham,W
South Carolina,Stetson,W
West Virginia,Wake Forest,L
Cal Poly,UC Riverside,L
La Salle,Drexel,W
Oregon,UCLA,L
North Dakota,Montana,L
Stony Brook,Duquesne,L
Northern Colorado,South Dakota,W
Miami FL,Southern Miss,W
Nebraska Omaha,Portland St.,W
St. Bonaventure,Buffalo,W
Oregon St.,Southern Utah,W
Saint Joseph's,Temple,W
New Orleans,Houston Christian,L
Evansville,Western Kentucky,L
Memphis,Baylor,W
Arkansas Pine Bluff,DePaul,L
Purdue,Iowa St.,L
Georgia Tech,Monmouth,W
Lindenwood,Eastern Illinois,W
Oral Roberts,Montana St.,W
Penn,Villanova,L
Youngstown St.,IU Indy,W
Marshall,Ohio,L
Rhode Island,Providence,L
Richmond,Old Dominion,W
Butler,Boise St.,L
Lehigh,LIU,L
