Team,Opp.,W/L
Illinois Chicago,Yale,W
Santa Clara,Arizona St.,L
Army,Cornell,L
Florida St.,Hofstra,W
Lipscomb,Chattanooga,W
LSU,UCF,W
Clemson,Memphis,L
George Washington,NJIT,W
UMass Lowell,Massachusetts,W
Arkansas St.,Indiana St.,W
Cal St. Northridge,Utah Tech,W
Charleston Southern,LSU,L
Sacred Heart,Holy Cross,L
Lehigh,Columbia,L
Milwaukee,UCF,L
N.C. State,Presbyterian,W
Marquette,Purdue,W
Clemson,Radford,W
South Carolina St.,Samford,L
Siena,Bucknell,W
Idaho,BYU,L
Fordham,Maine,W
Manhattan,Virginia,L
Vanderbilt,Nevada,W
South Carolina,Virginia Tech,W
Troy,UTSA,W
Weber St.,Utah Tech,W
Cal St. Northridge,Denver,W
UC Santa Barbara,Fresno St.,W
South Carolina,Mercer,W
Montana St.,Nebraska Omaha,W
Louisiana,Nicholls St.,L
Norfolk St.,Stony Brook,W
Fairfield,Rider,W
San Jose St.,Hawaii,L
South Carolina St.,Furman,L
Arizona,Wisconsin,L
Colorado,Cal St. Fullerton,W
California,USC,W
Arkansas Pine Bluff,Central Arkansas,W
Central Connecticut,Saint Joseph's,W
Gardner Webb,Tennessee,L
Duke,George Mason,W
Illinois St.,McNeese St.,L
Saint Louis,Loyola Marymount,W
Niagara,Merrimack,L
Tennessee,Illinois,W
Arizona,Oklahoma,L
Saint Louis,Chicago St.,W
Eastern Kentucky,Troy,L
Tennessee,Gardner Webb,W
Cornell,Lafayette,W
Marquette,Iowa St.,L
Mississippi St.,Utah,W
Georgia Tech,Charleston Southern,W
Kansas St.,Cleveland St.,W
Oklahoma,Georgia Tech,W
Oregon St.,Idaho,W
Northern Arizona,Stanford,L
Pepperdine,UC San Diego,L
Marshall,South Carolina St.,W
Texas Tech,Texas A&M,L
UC Riverside,BYU,L
Louisville,UTEP,W
Grambling St.,USC,L
West Virginia,North Carolina Centr,W
Rutgers,Texas A&M,L
Towson,Robert Morris,L
Illinois,Alabama,L
Bellarmine,VCU,L
Rhode Island,Detroit Mercy,W
Oregon,Montana,W
Minnesota,Oral Roberts,W
Presbyterian,Miami FL,L
St. John's,Quinnipiac,W
Seattle,Eastern Washington,L
Stonehill,Boston College,L
Virginia Tech,USC Upstate,W
Drexel,Fordham,W
Georgia Southern,UNC Wilmington,L
Howard,Tennessee St.,W
Longwood,Campbell,W
Marist,Manhattan,W
Michigan,Wake Forest,L
New Mexico,UCLA,W
Xavier,Siena,W
South Dakota,Iowa,L
Northern Colorado,St. Thomas,L
Michigan,TCU,W
California,Cal St. Bakersfield,W
Colorado St.,Mississippi,L
High Point,Jackson St.,W
Mercyhurst,Lafayette,L
Texas A&M Corpus Chr,Le Moyne,W
Western Kentucky,Marshall,W
South Carolina St.,Alabama A&M,W
Tennessee Martin,Texas A&M Corpus Chr,L
UNLV,Dayton,L
Texas Tech,Arkansas Pine Bluff,W
Indiana St.,Arkansas St.,L
BYU,Providence,L
Florida St.,Tulane,W
Memphis,UNLV,W
Missouri,Memphis,L
Boston College,Stonehill,W
Texas,N.C. State,W
USC Upstate,Virginia Tech,L
Murray St.,Utah Valley,L
San Diego,Boston University,W
Denver,Cal Poly,L
Idaho,Southern Utah,L
Louisiana,Liberty,L
Stony Brook,Marist,L
South Dakota St.,Missouri St.,W
North Florida,South Carolina,W
Western Michigan,Youngstown St.,W
Charleston,Wofford,W
Boston College,Wake Forest,L
Columbia,Stony Brook,W
Samford,West Georgia,W
Incarnate Word,Arkansas Pine Bluff,W
Jackson St.,Vanderbilt,L
Penn,Maryland Eastern Sho,W
Rutgers,Merrimack,W
North Carolina Centr,Longwood,W
Southern Illinois,Oklahoma St.,L
Tulane,Southern Miss,W
Dayton,UNLV,W
Arkansas St.,Memphis,W
East Carolina,Jacksonville St.,L
Long Beach St.,Hawaii,W
Marshall,Morehead St.,W
Vanderbilt,Southeast Missouri S,W
Loyola Chicago,Southern Utah,W
Stanford,Cal St. Fullerton,W
Central Arkansas,Georgia Tech,L
Marquette,Dayton,L
Mississippi,Southern Miss,W
Utah,Radford,W
Virginia,Villanova,W
Alabama St.,Lamar,W
Valparaiso,Central Michigan,W
N.C. State,Coastal Carolina,W
Connecticut,Dayton,L
Duke,Arizona,W
South Alabama,Jacksonville St.,W
Alabama,McNeese St.,W
Rice,Texas St.,L
Villanova,Rider,W
Southern Indiana,South Dakota,W
North Alabama,Tennessee Tech,W
Furman,Tulane,W
Yale,Minnesota,L
SIU Edwardsville,Ball St.,W
Clemson,Boise St.,L
Kentucky,Colgate,W
Columbia,LIU,W
Washington,Eastern Washington,W
Mississippi,Lindenwood,W
Maryland Eastern Sho,Penn,L
South Dakota St.,McNeese St.,W
San Francisco,Mercyhurst,W
Presbyterian,N.C. State,L
Clemson,Saint Francis,W
SIU Edwardsville,Western Michigan,W
Ball St.,SIU Edwardsville,L
Bradley,Washington St.,L
Bryant,Tennessee St.,W
Fairfield,Vermont,W
Louisiana Tech,Georgia Southern,W
Louisiana Tech,Grand Canyon,W
Lamar,Texas A&M,L
Kent St.,Mercyhurst,W
Wake Forest,Michigan,W
Purdue,Texas A&M,L
East Tennessee St.,Queens,W
William & Mary,Radford,L
American,Albany,W
Boston College,Old Dominion,W
Butler,Wisconsin,L
Delaware,Rider,W
Syracuse,Georgetown,L
UCF,Milwaukee,W
Virginia Tech,North Carolina A&T,W
Boston College,Temple,W
South Carolina,Towson,W
Wyoming,Utah Tech,W
UC Santa Barbara,UTEP,L
Marquette,Western Carolina,W
Louisiana,Appalachian St.,W
San Jose St.,Cal Poly,W
Central Michigan,South Alabama,W
Florida,Grambling St.,W
Holy Cross,Brown,W
Howard,UMBC,L
Houston,Louisiana,W
Texas,Mississippi Valley S,W
Nicholls St.,Gonzaga,L
Pepperdine,Northern Arizona,W
San Jose St.,UTEP,W
Lipscomb,Southeast Missouri S,W
Baylor,Tennessee,L
Navy,Harvard,W
La Salle,Stetson,W
Louisiana Tech,Memphis,L
Loyola Marymount,Wyoming,W
Louisville,Morehead St.,W
Norfolk St.,UC Davis,W
UMBC,Georgia Tech,L
George Washington,VMI,W
Alabama St.,Nebraska Omaha,W
Cal St. Fullerton,Grand Canyon,L
Cal Baptist,Eastern Washington,W
Furman,Florida Gulf Coast,W
USC,Grambling St.,W
Jacksonville St.,South Alabama,L
Kansas St.,Longwood,W
Mercyhurst,San Francisco,L
Northwestern St.,Incarnate Word,W
Niagara,Siena,W
Elon,Wofford,W
Wofford,Saint Louis,W
California,Air Force,W
Merrimack,Boston University,W
UC San Diego,Cal St. Bakersfield,W
Gardner Webb,Georgia Southern,L
Princeton,Iona,W
Winthrop,LIU,W
Virginia,Manhattan,W
UNLV,Memphis,L
Quinnipiac,St. John's,L
Grand Canyon,Arizona St.,L
Penn St.,Buffalo,W
North Alabama,Auburn,L
Michigan St.,Samford,W
South Carolina,Boston College,W
Utah Tech,Weber St.,L
Binghamton,Lafayette,W
Duquesne,Delaware,W
Illinois Chicago,James Madison,L
Nicholls St.,Louisiana,W
Saint Louis,Santa Clara,L
South Florida,Loyola Chicago,L
Texas Southern,Nevada,L
Appalachian St.,William & Mary,W
Rice,Arkansas St.,W
California,Cal Poly,W
Chattanooga,Evansville,W
Stanford,Denver,W
Howard,Cincinnati,L
Murray St.,Pittsburgh,L
Pepperdine,New Mexico St.,W
Portland St.,Pacific,W
Purdue Fort Wayne,Detroit Mercy,L
Loyola Chicago,Tulsa,W
UTEP,UNC Greensboro,W
Kennesaw St.,Abilene Christian,W
Colgate,Northeastern,L
Elon,North Carolina,L
Rhode Island,Fairfield,W
IU Indy,Green Bay,W
Cincinnati,Howard,W
LIU,Cal Baptist,L
Mississippi,LIU,W
Tennessee,Tennessee Martin,W
Arkansas St.,UT Arlington,W
American,Siena,L
UCLA,Cal St. Fullerton,W
Quinnipiac,Stonehill,L
St. Thomas,Western Michigan,W
Wichita St.,DePaul,L
Mississippi St.,Butler,L
Fordham,Drexel,L
Evansville,Green Bay,W
South Dakota St.,Long Beach St.,W
Southern Indiana,Southern Illinois,L
Yale,Rhode Island,L
Middle Tennessee,Bradley,L
Brown,Vermont,W
Georgia St.,Kentucky,L
Indiana St.,Iona,W
Michigan,Xavier,W
Washington St.,Northern Colorado,W
Rutgers,Ohio St.,L
Murray St.,Southeast Missouri S,W
Southern,Louisiana Tech,W
North Florida,UNC Asheville,L
Winthrop,Queens,W
Alabama St.,SMU,L
Bryant,St. Bonaventure,L
Chicago St.,Drexel,L
Cornell,Iona,W
Northwestern,Illinois Chicago,W
Morehead St.,Cleveland St.,W
North Carolina Centr,Winthrop,L
Sacred Heart,Brown,L
UNC Wilmington,Howard,L
UCLA,Washington,W
Radford,William & Mary,W
Holy Cross,New Hampshire,W
UAB,Illinois St.,L
Memphis,Missouri,W
Norfolk St.,Baylor,L
Rutgers,Saint Peter's,W
Arizona St.,St. Thomas,W
Milwaukee,Wofford,W
Georgia,Alabama A&M,W
VCU,Boston College,W
Vermont,Buffalo,W
Idaho St.,USC,L
Sacred Heart,Iona,W
La Salle,Lafayette,W
Miami FL,Oklahoma St.,L
North Carolina A&T,Liberty,L
UT Arlington,Rhode Island,L
Santa Clara,Saint Louis,W
Villanova,Saint Joseph's,L
Central Michigan,George Mason,W
Clemson,Eastern Kentucky,W
UNC Greensboro,Florida Gulf Coast,W
Jacksonville,Mercer,L
Kansas St.,St. John's,L
Northern Iowa,Nebraska Omaha,W
Saint Mary's,USC,W
Idaho,UC Davis,L
Penn St.,UMBC,W
Cal St. Bakersfield,Northeastern,W
Harvard,Colgate,W
Loyola Chicago,Eastern Michigan,W
North Dakota,Utah Valley,W
Northern Colorado,Air Force,W
Kansas St.,Drake,L
Columbia,Mercyhurst,W
Middle Tennessee,UAB,W
Dayton,Northwestern,W
UNLV,Northwestern,L
California,Sacramento St.,W
San Jose St.,UNC Greensboro,W
Vanderbilt,Drake,L
West Virginia,Georgetown,W
Green Bay,Oklahoma St.,L
James Madison,Jacksonville St.,W
Jacksonville,Siena,W
Lipscomb,Duquesne,W
California,Mercyhurst,W
Utah,Mississippi St.,L
Kent St.,Niagara,W
Oral Roberts,Northern Arizona,W
SMU,Prairie View A&M,W
UC San Diego,Utah St.,W
Cal Poly,San Jose St.,L
Indiana St.,Ball St.,W
Memphis,Virginia,W
Southern Utah,Nebraska Omaha,W
Northern Iowa,Wichita St.,L
San Diego St.,Oregon,L
Dayton,Saint Francis,W
VCU,Bellarmine,W
Chattanooga,Southeast Missouri S,W
Delaware,Duquesne,L
Indiana,Eastern Illinois,W
Green Bay,Ohio St.,L
Liberty,Kansas St.,W
Montana,Tennessee,L
N.C. State,Purdue,L
Ohio,UNC Asheville,W
SMU,UNC Greensboro,W
UAB,Arkansas St.,L
Bryant,Buffalo,W
Charleston,Saint Joseph's,W
Lamar,Louisiana,W
Portland St.,Seattle,L
Texas A&M Corpus Chr,Purdue,L
Marist,Stony Brook,W
UMass Lowell,Merrimack,W
Portland St.,Wofford,W
Rhode Island,UT Arlington,W
UT Arlington,Louisiana Monroe,W
Youngstown St.,Syracuse,L
Florida Atlantic,Liberty,W
Idaho St.,South Dakota,L
USC,Idaho St.,W
Miami OH,Appalachian St.,W
Morehead St.,Marshall,L
North Dakota,Loyola Marymount,W
UCF,Tennessee Tech,W
Tennessee,Virginia,W
William & Mary,Winthrop,L
Alabama,Arkansas St.,W
Drake,Florida Atlantic,W
Eastern Kentucky,Chicago St.,W
St. John's,Harvard,W
Alabama A&M,IU Indy,L
Clemson,Kentucky,W
Troy,Merrimack,L
McNeese St.,Santa Clara,L
Southeast Missouri S,Vanderbilt,L
Wright St.,Miami OH,W
Buffalo,Old Dominion,W
Louisiana Tech,Massachusetts,W
Columbia,New Hampshire,W
North Alabama,East Carolina,W
Creighton,UMKC,W
Fairfield,Yale,L
Florida Atlantic,Indiana St.,W
Pittsburgh,Gardner Webb,W
Georgetown,Syracuse,W
Cal Baptist,Incarnate Word,W
Florida Atlantic,Jacksonville,W
Bucknell,NJIT,W
Lipscomb,Belmont,L
Michigan St.,Colorado,W
UTSA,Houston Christian,W
Kennesaw St.,Cal Baptist,L
Penn,Saint Joseph's,L
Hofstra,Arkansas St.,W
Bellarmine,Bowling Green,W
Miami FL,Charleston Southern,L
Georgia,Marquette,L
Houston,Notre Dame,W
Iona,Hofstra,L
Lafayette,Mercyhurst,W
Drake,Stephen F. Austin,W
UT Rio Grande Valley,Tennessee Tech,W
Western Carolina,Wake Forest,L
Akron,Saint Mary's,L
Cal Poly,San Francisco,L
Rhode Island,Central Connecticut,W
South Carolina St.,Charleston Southern,W
Charleston,The Citadel,W
Saint Joseph's,Coppin St.,W
Illinois St.,UAB,W
Long Beach St.,Cal St. Fullerton,W
N.C. State,Kansas,L
VCU,Nevada,L
North Florida,UNC Asheville,L
UAB,Prairie View A&M,W
Campbell,Navy,W
Maine,Duke,L
Massachusetts,Temple,L
New Orleans,Kansas St.,L
Northern Colorado,Colorado,L
Mississippi St.,Southeastern Louisia,W
Texas A&M Corpus Chr,Tennessee Martin,W
Buffalo,Vermont,L
Colgate,Kentucky,L
New Orleans,Lindenwood,W
Miami FL,Tennessee,L
Oklahoma,Texas A&M Commerce,W
Valparaiso,Ohio St.,L
Bellarmine,Northern Kentucky,L
Mount St. Mary's,Delaware St.,W
George Washington,Old Dominion,W
Montana St.,Wisconsin,L
Tennessee Martin,Alabama St.,L
Towson,Nicholls St.,W
Cleveland St.,Green Bay,W
Notre Dame,Dartmouth,W
Eastern Michigan,Oakland,W
Tennessee St.,Howard,L
Monmouth,Stephen F. Austin,L
Wofford,North Alabama,W
Texas Southern,Sam Houston St.,L
Texas St.,TCU,L
Arizona St.,Saint Mary's,W
Austin Peay,Butler,W
Coastal Carolina,IU Indy,W
Washington,Colorado St.,W
East Tennessee St.,Eastern Kentucky,L
Maryland,Florida A&M,W
Georgia,Grand Canyon,W
Middle Tennessee,Abilene Christian,W
Morehead St.,NJIT,L
Northern Arizona,Pepperdine,L
Valparaiso,Northern Illinois,W
Pepperdine,UC Irvine,L
UNC Wilmington,Kansas,L
Colorado,Colorado St.,W
DePaul,Eastern Illinois,W
Northern Arizona,Incarnate Word,W
Norfolk St.,Hampton,W
Ohio,James Madison,L
Oregon St.,North Texas,L
Illinois St.,Pacific,W
Quinnipiac,Rider,W
Saint Peter's,Rutgers,L
West Georgia,Tennessee Tech,W
South Dakota,Wyoming,W
Rhode Island,Yale,W
Eastern Michigan,Houston Christian,W
Le Moyne,Syracuse,L
Manhattan,Marist,L
Navy,Rider,L
Wright St.,Youngstown St.,L
Youngstown St.,Wright St.,W
Southern Miss,Abilene Christian,L
Davidson,Arizona,L
Bryant,Chattanooga,L
North Florida,Charleston Southern,W
Detroit Mercy,Rhode Island,L
Oral Roberts,Tulsa,L
New Mexico,San Jose St.,W
Xavier,South Carolina,W
South Dakota,Southern Indiana,L
Southeastern Louisia,Tulane,W
Southern Indiana,DePaul,L
Utah Tech,Boise St.,L
Bryant,Delaware,W
Montana,Cal St. Northridge,W
Gonzaga,Connecticut,L
Virginia Tech,Delaware St.,W
Fordham,San Francisco,L
UNC Wilmington,Marshall,W
Iowa St.,Nebraska Omaha,W
Pacific,Arkansas,L
Quinnipiac,Sacred Heart,W
Brown,Stony Brook,W
Abilene Christian,Kennesaw St.,L
Baylor,Gonzaga,L
Vanderbilt,California,W
Fairleigh Dickinson,La Salle,L
Florida Gulf Coast,LSU,L
Georgia,St. John's,W
Old Dominion,High Point,L
La Salle,Illinois Chicago,L
Indiana,Miami OH,W
N.C. State,Texas,L
UC Davis,Grand Canyon,W
Butler,Western Michigan,W
Michigan St.,Bowling Green,W
UC Irvine,Cal St. Bakersfield,W
Green Bay,Providence,L
Idaho,Oregon St.,L
Kansas St.,Liberty,L
Murray St.,UT Arlington,W
Weber St.,North Dakota St.,L
North Florida,SIU Edwardsville,W
Texas A&M,Rutgers,W
Santa Clara,TCU,W
Temple,Boston College,L
UNLV,Creighton,L
Valparaiso,DePaul,L
Saint Louis,Wofford,L
Air Force,Belmont,L
Cal St. Fullerton,Pepperdine,W
Florida Atlantic,Drake,L
Creighton,Fairleigh Dickinson,W
Grambling St.,Cal Poly,L
Kentucky,Clemson,L
Stetson,La Salle,L
Manhattan,Fairleigh Dickinson,L
Bowling Green,Niagara,W
Prairie View A&M,Loyola Marymount,L
St. Thomas,Arizona St.,L
UMass Lowell,Stonehill,W
Wright St.,Air Force,W
Eastern Kentucky,Clemson,L
FIU,Stetson,W
Northwestern,Georgia Tech,W
Little Rock,UTSA,W
San Diego,Long Beach St.,L
Northwestern St.,North Alabama,W
North Florida,Georgia Southern,L
Northern Arizona,Oral Roberts,L
St. Bonaventure,Northern Iowa,W
Wofford,Portland St.,L
St. Bonaventure,Florida Gulf Coast,W
Stony Brook,Marquette,L
USC Upstate,UNC Wilmington,L
Old Dominion,William & Mary,W
Alabama St.,Akron,L
James Madison,East Tennessee St.,W
Northeastern,Harvard,W
Iowa St.,IU Indy,W
Akron,Lamar,W
North Alabama,Louisiana Monroe,W
UT Arlington,Louisiana Monroe,W
Oral Roberts,Missouri St.,L
Northwestern,Montana St.,W
Stonehill,New Orleans,W
Liberty,North Carolina A&T,W
Green Bay,SIU Edwardsville,W
Bradley,UTSA,W
Northern Kentucky,Bellarmine,W
Butler,Houston,L
Georgia,Georgia Tech,W
Rutgers,Seton Hall,W
Wake Forest,USC Upstate,W
Georgia Southern,Louisiana Tech,L
High Point,Old Dominion,W
La Salle,Drexel,W
Vermont,Miami OH,W
Hawaii,North Carolina,L
Vermont,Northeastern,W
Prairie View A&M,Texas A&M Corpus Chr,L
Iowa,Rider,W
Tennessee Tech,UCF,L
Saint Joseph's,Villanova,W
Charlotte,West Georgia,W
Lamar,Alabama St.,L
Fordham,Bryant,W
Rhode Island,Holy Cross,W
Le Moyne,Dartmouth,W
Liberty,McNeese St.,W
Mount St. Mary's,LIU,W
Fordham,New Hampshire,W
North Carolina A&T,The Citadel,W
Seton Hall,Oklahoma St.,L
Oregon St.,Sacramento St.,W
Southern Illinois,Southern Indiana,W
Central Arkansas,UNC Asheville,W
Miami OH,Air Force,W
Army,Duke,L
Long Beach St.,San Jose St.,L
Northwestern,UNLV,W
Ohio St.,Texas A&M,L
Texas,Ohio St.,L
Furman,South Carolina St.,W
UC Santa Barbara,San Jose St.,W
West Georgia,Utah Valley,L
Western Michigan,St. Thomas,L
Richmond,Belmont,L
Manhattan,Fordham,W
Notre Dame,Houston,L
Presbyterian,Monmouth,W
Mount St. Mary's,Bucknell,W
Wyoming,Tennessee St.,W
Saint Mary's,UTSA,W
UTSA,Troy,L
Bowling Green,Davidson,L
East Carolina,George Mason,W
Indiana,Gonzaga,L
Washington St.,Idaho,W
Louisville,Oklahoma,L
Utah Valley,North Dakota,W
Northern Colorado,Washington St.,L
San Diego St.,Fresno St.,W
Washington St.,SMU,L
South Carolina,Indiana,L
Texas A&M Corpus Chr,Stephen F. Austin,W
North Dakota,UTSA,L
Washington St.,Washington,L
Bellarmine,Western Carolina,L
Boston College,Dartmouth,L
South Dakota St.,Duquesne,W
Furman,Belmont,W
Wisconsin,Holy Cross,W
Marshall,Ohio,W
Saint Peter's,Fairleigh Dickinson,W
Iona,Saint Peter's,W
Colgate,Vermont,W
Oregon St.,Weber St.,W
Gardner Webb,Bethune Cookman,W
Cal Poly,Cal St. Northridge,L
Charleston Southern,Davidson,L
Penn St.,Clemson,L
Florida St.,Temple,W
Belmont,Furman,L
New Hampshire,Holy Cross,L
Jacksonville,Virginia Tech,W
Arkansas,Little Rock,W
Tulane,Louisiana Monroe,W
West Virginia,Louisville,L
Miami OH,Michigan,L
Nicholls St.,New Mexico,L
Pacific,San Jose St.,W
Siena,Bryant,W
Southern,Iowa,L
Utah St.,UC San Diego,L
Boston University,Albany,W
Binghamton,Le Moyne,W
Wake Forest,Boston College,W
Boston University,Merrimack,L
Brown,Bryant,W
Wagner,Coppin St.,W
Temple,Drexel,W
Army,Fairleigh Dickinson,W
Southern Indiana,Indiana St.,W
Niagara,Bowling Green,L
Norfolk St.,Grand Canyon,L
Northern Kentucky,Akron,L
SMU,Butler,L
South Alabama,Nicholls St.,W
Samford,Utah Valley,W
Rutgers,Wagner,W
Western Kentucky,Evansville,W
Duke,Kentucky,L
Eastern Washington,Washington,L
George Washington,Louisiana,W
North Carolina A&T,George Washington,L
Oral Roberts,Mississippi,L
Portland St.,Milwaukee,L
Saint Peter's,Duquesne,W
Indiana,SIU Edwardsville,W
Stony Brook,Central Michigan,W
Washington St.,Nevada,W
Georgia Tech,West Georgia,W
Cal St. Northridge,USC,L
Loyola MD,Mount St. Mary's,W
Detroit Mercy,Purdue Fort Wayne,W
Siena,Niagara,L
Southern Illinois,Austin Peay,W
Stanford,Utah Valley,W
Arkansas Pine Bluff,Pacific,L
Arkansas,Miami FL,W
Georgia Tech,Oklahoma,L
SMU,LSU,W
Brown,New Hampshire,W
Presbyterian,Tennessee Tech,L
Oklahoma,Stetson,W
La Salle,Temple,W
North Carolina,Auburn,L
Dayton,Ball St.,W
Richmond,Ball St.,W
Western Carolina,Bellarmine,W
Central Connecticut,Massachusetts,W
Cleveland St.,Milwaukee,L
FIU,Florida Atlantic,L
Louisiana,Kent St.,L
Rice,Northwestern St.,W
Kent St.,Portland,W
Texas,Syracuse,W
Vanderbilt,Tennessee Tech,W
Iowa,Texas A&M Commerce,W
UC San Diego,Idaho,W
South Florida,Arkansas Pine Bluff,W
Southern Illinois,Charleston,L
Florida Gulf Coast,Drake,L
Air Force,Jacksonville St.,W
Kent St.,Towson,W
St. Bonaventure,Le Moyne,W
Tennessee,Miami FL,W
Prairie View A&M,Fresno St.,L
Kennesaw St.,Rutgers,W
Temple,Villanova,L
UNC Wilmington,USC Upstate,W
Campbell,Virginia,L
Colorado St.,TCU,W
Florida St.,Florida,L
Kent St.,Cleveland St.,W
Georgetown,Lehigh,W
Nevada,Vanderbilt,L
Santa Clara,Washington,L
UMass Lowell,Washington,L
Abilene Christian,Nebraska Omaha,W
Arkansas,Baylor,L
Creighton,Alabama,L
Delaware,Vermont,L
Elon,Penn,W
Evansville,North Texas,L
Howard,FIU,W
Western Illinois,Incarnate Word,L
Missouri St.,Indiana St.,L
Nebraska Omaha,Stetson,W
UNLV,New Mexico St.,W
Stanford,Norfolk St.,W
Houston Christian,Northern Arizona,L
Northern Illinois,Valparaiso,L
Northwestern St.,Rice,L
Penn St.,Rutgers,L
Penn,Lafayette,L
VMI,Queens,L
Xavier,Cincinnati,L
Saint Mary's,Cal Poly,W
Charlotte,Georgia St.,W
Cornell,La Salle,L
Vermont,Delaware,W
Norfolk St.,Hofstra,L
Holy Cross,Wisconsin,L
Illinois Chicago,Little Rock,W
USC,New Mexico,L
Arizona St.,San Diego,W
Michigan,Tarleton St.,W
Georgia,Tennessee Tech,W
Toledo,Detroit Mercy,W
Washington,UCLA,L
UNC Asheville,Western Carolina,W
Albany,UMKC,W
Old Dominion,George Washington,L
Harvard,Colorado,L
Iona,Indiana St.,L
Lipscomb,Kentucky,L
Wyoming,Loyola Marymount,L
Georgia Tech,North Florida,L
SIU Edwardsville,Indiana St.,W
TCU,Vanderbilt,L
George Mason,UNC Asheville,W
William & Mary,Old Dominion,L
Coastal Carolina,N.C. State,L
Green Bay,IU Indy,L
Oklahoma St.,Green Bay,W
Kansas,Michigan St.,W
San Francisco,Saint Louis,W
Texas A&M Commerce,South Alabama,L
Southern Indiana,Purdue Fort Wayne,L
Eastern Washington,Washington St.,L
Santa Clara,Fresno St.,W
Lindenwood,Stonehill,W
New Mexico St.,Utah Tech,W
North Texas,Northern Iowa,W
Illinois St.,Northern Illinois,W
UC Irvine,Pepperdine,W
Southern,Tulsa,W
Yale,Illinois Chicago,L
Albany,Boston University,L
Virginia,Campbell,W
Lindenwood,IU Indy,W
Purdue Fort Wayne,IU Indy,W
Michigan,Virginia Tech,W
North Florida,Nebraska,L
Utah St.,North Texas,W
Incarnate Word,Northwestern St.,L
Ohio,Texas St.,L
Texas Southern,Samford,L
Troy,Toledo,W
UTSA,Saint Mary's,L
Vermont,UAB,W
West Georgia,Charlotte,L
Central Connecticut,Binghamton,W
Eastern Kentucky,Eastern Illinois,W
Georgia Southern,Gardner Webb,W
San Diego St.,Gonzaga,L
La Salle,Saint Joseph's,L
Stonehill,Lindenwood,L
Missouri St.,Oral Roberts,W
Georgia Tech,Texas Southern,W
Florida St.,Winthrop,W
Presbyterian,Wofford,W
Minnesota,Yale,W
Boston College,Missouri St.,W
Eastern Michigan,Detroit Mercy,L
Eastern Illinois,DePaul,L
Nebraska,Fairleigh Dickinson,W
Richmond,Marist,L
Georgetown,Mount St. Mary's,W
Hawaii,Pacific,W
Central Michigan,Minnesota,L
USC,Chattanooga,W
Western Kentucky,Jackson St.,W
Utah Valley,North Dakota St.,L
Northern Colorado,Cal Baptist,W
UMass Lowell,Quinnipiac,W
Samford,Arizona,L
UTEP,Tarleton St.,W
Weber St.,North Dakota,L
Northeastern,Colgate,W
Grand Canyon,Stanford,W
Little Rock,Tulsa,W
McNeese St.,Mississippi St.,L
Mercyhurst,Sacramento St.,W
Oakland,Michigan St.,L
Denver,Montana St.,W
Montana St.,Wichita St.,L
Santa Clara,North Dakota St.,L
Rider,Fairfield,L
Alcorn St.,Utah,L
Drexel,Colgate,W
Valparaiso,Drake,L
Fresno St.,UC Santa Barbara,L
Hofstra,Massachusetts,W
Sacramento St.,California,L
Saint Peter's,UMBC,W
Seton Hall,Villanova,L
South Dakota,Western Michigan,W
Marshall,Southern Indiana,W
Oregon St.,UC Irvine,W
UC Riverside,Colorado St.,W
Alcorn St.,Washington,L
Alabama A&M,Coastal Carolina,W
Kennesaw St.,Georgia St.,W
Le Moyne,Manhattan,W
Minnesota,Indiana,L
Northwestern St.,California,L
Oral Roberts,Belmont,L
UNLV,Pacific,W
Tulane,Furman,L
Oakland,Wright St.,W
Hampton,Boise St.,L
Sacred Heart,Central Connecticut,W
IU Indy,Purdue Fort Wayne,L
Kennesaw St.,Santa Clara,L
Memphis,San Francisco,W
Nebraska Omaha,Sacramento St.,W
Seton Hall,NJIT,W
North Carolina A&T,East Carolina,L
North Dakota St.,Northern Colorado,W
Youngstown St.,Oakland,W
Sacred Heart,Boston University,W
West Georgia,Troy,L
Jacksonville St.,Utah Valley,W
Wofford,Presbyterian,L
Arkansas Pine Bluff,Tulsa,L
Sacramento St.,Cal St. Northridge,L
Washington St.,Fresno St.,W
North Carolina Centr,Gardner Webb,L
Little Rock,Arkansas St.,L
Northwestern St.,Texas Tech,L
Pacific,Colorado,L
Southern Illinois,Florida,L
Texas A&M Corpus Chr,New Mexico St.,L
Alcorn St.,Rice,L
Northwestern,Butler,L
Florida Gulf Coast,UNC Wilmington,L
Missouri St.,High Point,W
Lehigh,Saint Francis,L
Longwood,McNeese St.,L
New Mexico,Nicholls St.,W
George Washington,North Carolina A&T,W
North Carolina Centr,Gardner Webb,W
Northwestern,Dayton,L
St. Bonaventure,Utah St.,L
Stanford,Santa Clara,W
Western Kentucky,Wichita St.,L
Georgetown,West Virginia,L
Georgia Southern,Winthrop,W
Georgia St.,Tulsa,W
Jacksonville St.,Air Force,L
Furman,Jacksonville,W
UTSA,Merrimack,W
Ohio,Portland,W
Northeastern,Princeton,L
South Florida,Utah St.,L
Stephen F. Austin,Louisiana Monroe,W
Texas St.,Texas Southern,W
Tulane,George Mason,L
Nebraska,UT Rio Grande Valley,W
Villanova,Virginia,L
New Mexico St.,Abilene Christian,L
Washington,Alcorn St.,W
Chicago St.,Loyola Chicago,L
Denver,Portland St.,W
Michigan St.,Memphis,L
New Mexico St.,Texas,L
Bradley,Northern Illinois,W
Rider,Quinnipiac,L
Sacred Heart,Quinnipiac,L
Saint Francis,Maryland,L
